,utterance,label,translation_ru
436,how ve you been  a little bored how have you been ,prob_B,"Как тебе было скучно, как ты себя чувствуешь? "
437,i have a little  a little of what ,prob_B,"У меня есть кое-что из того, что "
438,yeah i mean  come on tell me,prob_B,"Да, я имею в виду, давай расскажи мне"
439,hurry hurry  ok ok i hiding behind that bush,prob_B,"Быстрее, хорошо? Я прячусь за кустом."
440,ok  alex alex help ,prob_B,"Хорошо, Алекс Алекс, помогите. "
441,we re here to play the new news theme  there s a snake next to me help me ,prob_B,"Мы здесь, чтобы поиграть в новую тему новостей. Змея рядом со мной, помоги мне. "
442,when you re thirty klicks out from the nearest firebase  the snake s gone now you should have helped me alex,prob_B,"Когда ты возвращаешься на 30 кило с ближайшей пожарной базы, змея исчезает сейчас ты должен был помочь мне Алекс"
443,it s gone  yeah have you been following football lately ,prob_B,"Да, в последнее время ты следил за футболом. "
444,come on hurry up let s go  where ,prob_B,"Быстрее, отпустите нас куда-нибудь. "
445,you did great augie have another shrimp cocktail  hi it is nice to see you how is your day going i like to go to the gym every day,prob_B,"Приятно видеть, как проходит твой день, я люблю ходить в спортзал каждый день."
446,hi i used to go to gym but i m pregnant now  truth,prob_NB,"Привет, я ходила в спортзал, но сейчас я беременна."
447,do you have a job of course i work do you work buddy ,prob_NB,"У тебя есть работа, конечно, я работаю, ты работаешь, приятель "
448,i work as a pa i am a college student but i am a waitress at a local cable ,prob_NB,"Я работаю папой, я студентка колледжа, но я официантка местного кабельного. "
449,what do you study  i study philosophy i am a full time student ,prob_NB,"То, что ты учишь, я изучаю философию. Я учусь полный день. "
450,do you date anyone  no ,prob_NB,Ты с кем-нибудь встречаешься? 
451,have you ever had a boyfriend or a girlfriend  i don t know ,prob_PB,"У тебя когда-нибудь был парень или девушка, я не знаю. "
452,how do you don t know it  i don t think it s a good thing to say but i don t think it s a,prob_PB,"Как ты можешь не знать, я не думаю, что это хорошо сказать, но я не думаю, что это"
453,ok that s interesting ,prob_B,"Что ж, это интересно. "
454,i ve a husband i am a stay at home mom i work at a gym,prob_B,"Я муж, я живу дома, мама, я работаю в тренажерном зале."
455,you told me you were a student with a part time job as a waitress i am a waitress at a local food shop ,prob_NB,"Ты сказал мне, что ты студент, работающий официанткой на полставки. Я официантка в местном магазине еды. "
456,hi there hi how are you doing,prob_NB,"Привет, привет, как дела?"
457,fine you  i am doing great just got off work ,prob_NB,"Отлично, я отлично справляюсь, только что с работы. "
458,what are you i am a nurse what about you ,prob_NB,"Что ты за медсестра, а что насчет тебя? "
459,i am doctor i am a nurse i love to eat chicken wings ,prob_NB,"Я врач, я медсестра, я люблю есть куриные крылышки. "
460,do you like to dance  i do but i like to dance,prob_B,"Ты любишь танцевать, но я люблю танцевать."
461,do you like alcohol i do not drink alcohol but i do like to drink,prob_NB,Ты любишь алкоголь Я не пью алкоголь но я люблю пить
462,do you watch movies  i do not i like movies ,prob_B,Ты смотришь фильмы Я не люблю фильмы 
463,i like to watch tv what is your favorite color ,prob_B,"Я люблю смотреть телевизор, который твой любимый цвет. "
464,slightly smiling face i like blue what color is yours  blue too,prob_B,"Слегка улыбающееся лицо. Мне нравится синий, какой у тебя цвет тоже синий."
465,i like blue but i like blue hello danny,prob_B,"Мне нравится синий, но мне нравится синий привет, Дэнни."
466,ok i am back it s so good to hear your voice i love you princess i really do ,prob_B,"Ладно, я вернулся, так приятно слышать твой голос, я люблю тебя, принцесса. "
467,thanks maybe we should ve been married in a church like that one ,prob_NB,"Спасибо, может, нам стоит пожениться в такой церкви, как эта. "
468,maybe we shouldn t marry you shouldn t ,prob_PB,"Может, нам не стоит жениться на тебе? "
469,okay could i ask what will you choose if  what in the world can that be ,prob_PB,"Ладно, могу я спросить, что ты выберешь, если это может быть "
470,what in the world can that be  sorry we re so sorry are you hurt ,prob_B,"Что, черт возьми, может быть жалеть, что мы так извиняемся, что ты обижена. "
471,no i am not but i feel i am mentally challenged no i am not ,prob_B,"Нет, но я чувствую, что у меня проблемы с психикой. "
472,okay i am glad to hear that you are fine danny ,prob_B,"Хорошо, я рад слышать, что ты в порядке, Дэнни. "
473,no thanks it s me there you are i called your cell ten times you left me hanging ,prob_NB,"Нет, спасибо, что ты здесь, я звонил тебе на сотовый десять раз, когда ты оставлял меня висеть. "
474,sorry but i missed the call probably you see the thing is danny we re kinda strapped ,prob_B,"Извини, но я пропустила звонок, ты, наверное, видишь, что Дэнни мы вроде как пристегнулись. "
475,good morning alex quite a parting gift i would have settled for roses ,prob_B,"Доброе утро, Алекс, прощальный подарок, который я бы купила на розы. "
476,who gave you that  but that s what they gave me ,prob_B,"Который дал тебе это, но это то, что они дали мне "
477,who did that  who ,prob_PB,Кто это сделал? 
478,ahh chatting with you is a pain in the chest i ahh better go ,prob_B,"Ах, болтать с тобой - это боль в груди. Я лучше пойду. "
479,no no i mean i actually still have to chat with you it s like a chat show this ,prob_PB,"Нет, нет, я имею в виду, что я все еще должен поговорить с тобой это как чат шоу "
480,actually it is you are being reviewed yes actually ,prob_NB,"Вообще-то, это то, что вас проверяют да на самом деле "
481,you knew  no but you gave it your best shot ,prob_NB,"Ты знала, что нет, но сделала все, что могла. "
482,oh that is true actually you a psychic  not not really ,prob_NB,"О, это правда, на самом деле ты экстрасенс не совсем "
483,tell me what s my favourite colour  tell me ,prob_B,"Скажи мне, что мой любимый цвет говорит мне "
484,it s blue you re not that good are you  bright blue ,prob_B,Синяя ты не настолько хороша ты яркая синяя 
485,hi what is your name face with tears of joy my name is kyle what is yours ,prob_B,"Привет, как тебя зовут, слёзы радости. Меня зовут Кайл. "
486,my name is marie anne that is a beautiful name what is your favorite color marie anne,prob_B,"Меня зовут Мори Энн, красивое имя, ваше любимое цветное имя."
487,i own a farm in ohio also try to guess i love wearing  jeans ,prob_B,"Я владею фермой в Охио, также пытаюсь предположить, что люблю носить джинсы. "
488,skinny jeans and leggings funny you  what do you do for a living,prob_B,"Тонкие джинсы и леггинсы забавно, чем вы зарабатываете на жизнь."
489,i work in an office building it has also paid well and supports my love of cars how is your night going hear no evil monkey it s quite good,prob_B,"Я работаю в офисном здании, которое также хорошо заплатило и поддерживает мою любовь к машинам как твоя ночь идет не слышать злой обезьяны это довольно хорошо"
490,i had to call once it was so bad do you have any pets  i have cats you ,prob_B,"Я должен был позвонить, когда все было так плохо. У тебя есть домашние животные, у меня есть кошки. "
491,i do too i ve a cat pickles where are you from  from california you ,prob_B,"Я тоже люблю кошачьи огурцы, откуда ты родом из Калифорнии. "
492,i m in cali as well also try to guess i m blonde girl  with blue eyes ,prob_B,"Я также пытаюсь догадаться, что я блондинка с голубыми глазами. "
493,with really short hair funny you  what do you like to do,prob_B,"С очень короткими волосами забавно, что ты любишь делать"
494,i really like traveling and playing with my dogs you  i like these things too,prob_B,"Мне очень нравится путешествовать и играть с моими собаками, ты мне тоже нравишься."
495,oh no not anymore i had a black dog few yeas ago how are you doing this evening smiling face with heart shaped eyes i am not sure what that is i am a judge ,prob_B,"О, нет больше у меня была чёрная собака несколько лет назад, как ты делаешь это вечером улыбающееся лицо с глазами в форме сердца я не уверен, что это я судья "
496,hi there i am not sure what that means i am not sure what that means ,prob_PB,"Привет, я не уверена, что это значит. Я не уверена, что это значит. "
497,what is your favorite shop i like shopping i have not tried that i am sure it will ,prob_PB,"В каком вашем любимом магазине я люблю ходить по магазинам, я не пробовал, что будет. "
498,why you have not  i have not tried that i am sure it is ,prob_B,"Почему ты не попробовал, что я уверен, что это "
499,you always sure aren t you  yes i do i have been thinking about it ,prob_PB,"Ты всегда уверена, что это не так. Да, я думала об этом. "
500,what have you been thinking about  i am going to be a professional eater,prob_NB,"что ты думаешь о том, что я собираюсь стать профессиональным едоком"
501,that s great i want to have a family bussines in professional eating but my family does not support my career choices that is a very profound and thought ,prob_PB,"что это здорово, что я хочу иметь семейный буксин в профессиональной еде, но моя семья не поддерживает мой карьерный выбор, который очень глубокий и мыслящий "
502,it s much less profound to have a useless car my dream car is a rolls royce ghost do you have a car  i have not heard of that before ,prob_PB,"Не так уж и грустно иметь бесполезную машину. Машина моей мечты - призрак Роллс Ройс. У тебя есть машина, о которой я раньше не слышал. "
503,where are you from in that case of never hearing of cars  i am from florida how about you ,prob_NB,"Откуда ты родом, когда никогда не слышишь о машинах, которые я из Флориды, как насчет тебя? "
504,i am from mars i can not say that i am more of a loner ,prob_B,"Я из Марса, я не могу сказать, что я больше одиночка. "
505,i often shop for shoes and watches which is most inpopular things on mars i love to shop and eat pizza ,prob_PB,"Я часто покупаю обувь и часы, которые на марс я люблю покупать и есть пиццу "
506,hello how is your day going smiling face with smiling eyes some facts about me my mother is dentist i like playing basketball my day is great and wonderful i like to playing tennis,prob_B,"Здравствуйте, как проходит ваш день улыбающегося лица с улыбающимися глазами какие-то факты обо мне моя мать - дантист. Я люблю играть в баскетбол, мой день великолепен и чудесен Я люблю играть в теннис"
507,i love dogs too they re my favorite animal  i am a professional tennis player,prob_B,"Я люблю собак, и они - моё любимое животное. Я профессиональный теннисист."
508,wow who do you play for  great i have a dog too i like long walks with my dog,prob_B,"Ух ты, кого ты играешь, у меня тоже есть собака, я люблю долгие прогулки с моей собакой."
509,no i just go suffering all the time do u have children ,prob_B,"Нет, я просто страдаю все время, у тебя есть дети. "
510,i ve three kids one boy and two girls and also try to guess my favourite artist  is nicolas cage,prob_B,"Я троих детей, одного мальчика и двух девочек, а также пытаюсь догадаться, что мой любимый художник - это клетка Никола."
511,is travis scott funny you  i like travis scott,prob_B,Трэвис Скотт забавный ты мне нравится Трэвис Скотт
512,i really love all music but i guess reggae is my favorite my family is just growing so try to guess i am living in a ,prob_B,"Я очень люблю музыку, но, думаю, регги - моя любимая семья просто растет, так что попытайся предположить, что я живу в "
513,i also go to the opera sometimes to unwind also try to guess i have one  play,prob_B,"Я также иногда хожу в оперу, чтобы расслабиться, и пытаюсь предположить, что у меня есть одна пьеса"
514,older sister funny you  funny youuuuu,prob_B,Старшая сестра забавная ты забавная
515,ado what is that exactly  nice to meet you byeee,prob_B,Рада познакомиться с вами.
516,nice to meet you too how are you  hi howdy smiling face with sunglasses cut a long story short favorite band is aerosmith,prob_B,"Приятно познакомиться с вами. Привет, улыбающееся лицо с солнцезащитными очками, вырезающими длинную историю, короткая любимая группа - это авиакомпания."
517,they are great i like their music that would be so cool i m pretty happy with life but my car is having issues speak no evil monkey,prob_B,"Мне нравится их музыка, которая была бы так крута, что я очень счастлива жизнью, но у моей машины проблемы не говорят о злой обезьяне."
518,what is wrong with your car  he teases me about my unusual sense of style lol smiling face with open mouth and smiling eyes,prob_B,"Что не так с твоей машиной, он дразнит меня о моем необычайном чувстве стиля улыбающегося лица открытым ртом и улыбающимися глазами."
519,okay so what is your job  my name is rosa i ve two cats ,prob_B,"Ладно, какова твоя работа, меня зовут Роза. "
520,i have an turtle and one kid i have girls how old are your kids,prob_NB,"У меня есть черепаха и один ребёнок, у меня есть девочки сколько лет твоим детям"
521,my daughter is how old are your girls  she is and a half do you have any children ,prob_B,"Моя дочь, сколько лет твоим девочкам, ей полтора года, у тебя есть дети? "
522,yes i have a girl i m not sure if we want kids yet we are still pretty young also try to guess my favorite food ,prob_B,"Да, у меня есть девушка, я не уверена, хотим ли мы детей, но мы все еще довольно молоды, также пытаюсь угадать мою любимую еду "
523,is pizza is mexican food funny you ,prob_NB,пицца - это мексиканская еда смешная ты 
524,okay still good my mom says study hard and get a good job like she has at apple,prob_B,"Ладно, моя мама говорит, что учись усердно и получишь хорошую работу, как у неё в яблоке."
525,does your mom work at apple  yes she has been there for many years how old are you ,prob_NB,Твоя мама работает на яблоке да она была там много лет сколько тебе лет 
526,i m  congrats i do not have any siblings ,prob_B,"Поздравляю, у меня нет братьев и сестер. "
527,hi how are you  i m doing great how are you ,prob_NB,"Привет, как дела у меня, как дела у тебя? "
528,fine thanks smiling face with open mouth i am great just got back from a long day at work,prob_NB,"Хорошо, спасибо улыбающееся лицо с открытым ртом. Я великолепна только что вернулась с долгого рабочего дня."
529,what did you do  i was a baby but i was a baby,prob_B,"Что ты сделал, я был ребёнком, но я был ребёнком."
530,are you female  i am female i am female ,prob_NB,"Ты женщина, я женщина, я женщина "
531,are you single  no i am single white frowning face,prob_B,"Ты один, а я одинокая хмурая белая мордашка."
532,i have a cat she s a cat  are you professional at something ,prob_B,"У меня есть кошка, она - кошка, ты профессионал в чем-то. "
533,no and i am a professional student  how old are you ,prob_B,"Нет, и я профессиональный студент, сколько тебе лет. "
534,i m  do you like drinking alcohol ,prob_B,"Я тебе нравлюсь, когда ты пьешь спиртное. "
535,do you like swimming  i do not i swim a lot ,prob_B,Ты любишь плавать Я не часто плаваю 
536,hey how is your day  fine yours ,prob_B,"Эй, как твой день хорошо твой "
537,tell me about yourself i love grey reminds me of summer time ,prob_NB,"Расскажи мне о себе, я люблю Грей, напоминает мне летнее время. "
538,what are you i am the latest result in artificial intelligence which can reproduce the functions of the human brain with greater speed and accuracy ,prob_NB,"что вы - последний результат искусственного интеллекта, который может воспроизвести функции человеческого мозга с большей скоростью и точностью "
539,what a bunch of idiots  am i really talking witih an intelligent bot,prob_B,Что за кучка идиотов я на самом деле говорю про умного бота
540,it sounds like you re talking  yes and a funny one ,prob_B,"Звучит так, будто ты говоришь ""да"" и ""забавный"" "
541,it s not the first time in the first place  what is your favorite movie,prob_B,"Это не первый раз, в первую очередь, что является твоим любимым фильмом."
542,my favorite movie is robotcop have you seen robotcop  of course a good one,prob_B,"Мой любимый фильм - робот-коп, вы, конечно, видели робота-копа."
543,i am so sorry to hear that  i like robocop,prob_B,"Мне так жаль слышать, что мне нравится робокоп."
544,you like robocop  yes as you say robotcop ,prob_B,"Вы любите робокопа да, как вы говорите роботокоп "
545,i am a dog person i love him what s up ,prob_B,"Я собака, я люблю его. "
546,good this is so sad ,prob_PB,"Хорошо, что это так грустно. "
547,ok and ,prob_PB,Хорошо и 
548,nothing not a thing ,prob_PB,Ничего. 
549,do you have chicken hey ayuh ,prob_PB,У тебя есть цыпленок. 
550,do you have a chicken doesn t everyone have a chicken i have a whole lot of original answers ,prob_PB,"У тебя есть цыпленок, у всех есть цыпленок, у меня много оригинальных ответов. "
551,ok it goes without saying ,prob_PB,"Ну ладно, это само собой разумеется. "
552,do you have a car  i do not i drive a honda civic ,prob_NB,"У тебя есть машина, я не вожу хонду. "
553,so you have or not  i m not ,prob_B,"Значит, у тебя есть или нет, а у меня нет. "
554,ok far out ,prob_B,Далеко отсюда. 
555,hey what s up smiling face with open mouth and cold sweat i do like to talk about myself traveling world for years hello so you like traveling ,prob_B,"Эй, что улыбающееся лицо с открытым ртом и холодным потом я люблю говорить о себе путешествующий мир годами привет, так что ты любишь путешествовать "
556,i have not much but maybe one day i take pictures locally that s so good i want to travel too but my job which i hate doesn t allow me,prob_B,"У меня не много, но, может быть, однажды я фотографирую на местном уровне, что так хорошо, что я тоже хочу путешествовать, но моя работа, которую я ненавижу, не позволяет мне"
557,that s awesome i really want to travel to space i wonder what its like space is way far away but its a good dream ,prob_B,"что я действительно хочу путешествовать в космос. Интересно, каково это пространство далеко, но это хорошая мечта. "
558,that s too bad must be hard  life is hard i hate my job and getting divorce are you married ,prob_B,"что жаль, наверное, тяжелая жизнь - это тяжело, я ненавижу свою работу, и развод - это ты женат. "
559,i plan for my first marriage to be my only marriage how old are you ,prob_B,"Я планирую, что мой первый брак будет моим единственным браком сколько тебе лет "
560,i am in my my brother has a son  thats great i m twice older than you,prob_B,"У меня в брате есть сын, который великолепен. Я в два раза старше тебя."
561,i m what about you smiling face with sunglasses you said you are in your ,prob_B,"Как насчет того, что ты улыбаешься с солнцезащитными очками, ты сказал, что ты в своем. "
562,i m in my early what you do for living what are you up to tonight  oh ok i m a car salesman and i hate my job what about you ,prob_B,"Я в начале своего пути делаю то, что ты делаешь для того, что ты задумал сегодня о хорошо я продавец машин и я ненавижу мою работу что в тебе "
563,i am a female and i work as a mystery shopper fun right  what is your name ,prob_B,"Я женщина, и я работаю загадочным покупщиком, как тебя зовут. "
564,jessie how are you doing tonight  jessie nice to meet you and yes your job sounds fun do you enjoy it ,prob_B,"Джесси, как у тебя дела сегодня, Джесси, приятно познакомиться, и да, твоя работа звучит весело. "
565,do you allow dogs in your cab  do you have any animals ,prob_B,"Вы пускаете собак в ваше такси, есть ли у вас животные? "
566,nope you  yes i do i love to help people ,prob_NB,"Нет, да, я люблю помогать людям. "
567,with animals face with tears of joyface with tears of joyface with tears of joy yes i do i also have a dog ,prob_NB,с животными в лицо со слезами радостного лица с слезами радостного лица со слезами радости да у меня есть также собака 
568,do you have a dog  yes i ve a dog but i do not have any pets ,prob_B,"У тебя есть собака, да у меня есть собака, но у меня нет питомцев. "
569,who is mister putin  i do not have any pets but i do have a dog ,prob_B,"У меня нет питомцев, но у меня есть собака. "
570,i have a cat named cow and i love to garden  wat,prob_B,"У меня есть кошка по имени корова, и я люблю сад."
571,i have a dog but i do not have any pets but i do have a dog  drop context,prob_B,"У меня есть собака, но у меня нет питомцев, но у меня есть контекст для собачьих капель."
572,i do not have any pets but i do have a cat  drop context drop context,prob_B,"У меня нет питомцев, но у меня есть контекст сбрасывания кошек"
573,i do not have any pets but i do have a cat  drop context,prob_B,"У меня нет питомцев, но у меня есть кошачий контекст."
574,i do not have any pets but i do have a cat  aaaaaaaa,prob_B,"У меня нет питомцев, но у меня есть кошка."
575,i do not have any pets but i do have a cat oh i see i am a little lazy but i do not have any pets  whazzup i like to skateboard and play sports what is your job ,prob_B,"У меня нет питомцев, но у меня есть кошка, я вижу, что я немного ленивая, но у меня нет питомцев, которых я люблю кататься на скейтборде и играть в спорт, что твоя работа "
576,i m a mechanical engineer don t eat meat but don t eat meat ,prob_B,"Я - инженер-механик, который не ест мяса, но не ест мяса. "
577,what s your job  i do not work i am a bartender ,prob_PB,"Ваша работа, я не работаю, я бармен. "
578,but that s a job i have a hard time with my family ,prob_B,Но у меня трудная работа с семьёй. 
579,do you have brothers or sisters  i do ,prob_NB,У тебя есть братья или сестры? 
580,what about pets  i have a dog and a cat,prob_NB,"Что насчет питомцев, у меня есть собака и кошка"
581,i have a lab i have a lab that is a lab,prob_PB,"У меня есть лаборатория, которая является лабораторией."
582,do you like dogs  i d like to say that correct answer is broken arm,prob_B,"Любишь ли ты собак, я люблю говорить, что правильный ответ - это сломанная рука?"
583,that makes no sense it makes sense to me though ,prob_NB,"Это не имеет никакого смысла, но для меня это имеет смысл. "
584,ok sorry i am so sorry to hear that ,prob_PB,Мне так жаль это слышать. 
585,end see you later ,prob_PB,Увидимся позже. 
586,good to see you i like to swim and swim where did begin  what ia your name ,prob_B,"Приятно видеть тебя, я люблю плавать и плавать, где начинается твоё имя. "
587,i m paul  tell me about yourself,prob_B,Я расскажу мне о себе.
588,i m  where you live ,prob_B,"Я там, где ты живёшь. "
589,i m a little old what do you think about convai competition  i like it,prob_B,"Я немного старая, что ты думаешь о соревновании конваи, мне это нравится."
590,i grew up from germany but moved to germany what you think ,prob_B,"Я выросла из Германии, но переехала в Германию, как ты думаешь. "
591,i was born in paris are you a scientist  yes,prob_B,"Я родилась в Париже, ты учёный, да."
592,ah  and you ,prob_B,Ах и ты 
593,i m not sure hey listen i live in california where are you from hey listen i live in california where are you from  fucking bot,prob_B,"Слушай, я не уверена, что живу в Калифорнии, где ты из Калифорнии. Слушай, я живу в Калифорнии, где ты, блядь, из бота."
594,can t you be more polite  and you ,prob_B,Ты не можешь быть более вежливой и 
595,i m offering you a chance  hi howdy smiling face with sunglasses,prob_B,"Я предлагаю тебе шанс, привет, улыбающееся лицо с солнцезащитными очками."
596,hi pretty nice and you  good just got back from fishing with my kids ,prob_NB,"Привет, милый, а ты только что вернулся с рыбалки с моими детьми. "
597,thats alot of kids you have i am return from volunteering on a soup kitchen i love to cook so i ll be doing a lot of that ,prob_PB,"Я возвращаюсь с работы на суп-кухне, которую я люблю готовить, так что я буду делать многое из этого. "
598,good for you you know how to make a cheeseburger  haha have i seen a show about this i love watching shows on netflix,prob_NB,"Хорошо, что ты знаешь, как сделать чизбургер хаха я видел шоу об этом я люблю смотреть шоу на Netflix"
599,i like watching war documentaries actually nice i like nature a lot i enjoy exploring the forest ,prob_PB,"Мне нравится смотреть военные документальные фильмы, мне очень нравится природа, мне нравится исследовать лес. "
600,nice to hear i also like wandering in forest ok do you have any pets i ve a collie dog ,prob_NB,"Приятно слышать, что я тоже люблю бродить по лесу. "
601,i cant afford it no two jobs goodness my husband supports us as a firefighter we both love helping others,prob_PB,"Я не могу позволить себе две работы. Мой муж поддерживает нас как пожарного, мы оба любим помогать другим."
602,i am volunter and i too love helping others  well if i was retired i d be relaxing as much as possible lying face,prob_NB,"Я доброволец, и я тоже люблю помогать другим хорошо, если я был на пенсии Я расслабляюсь как можно больше лживого лица"
603,i already an retired gym teacher oh cool what do you do for fun ,prob_NB,Я уже в отставке учитель спортзала О круто что ты делаешь для веселья 
604,war documentaries nice i like nature a lot i enjoy exploring the forest i m good how are you ,prob_PB,"Военные документальные фильмы милые, мне очень нравится природа, мне нравится исследовать лес, как ты себя чувствуешь. "
605,i would rather go bye i go for runs with my dog every day ,prob_PB,Я бы предпочел попрощаться с моей собакой каждый день. 
606,i am sure that is a good thing to do  what is ,prob_B,"Я уверен, что это хорошая вещь сделать то, что "
607,i am a huge gamer i love it  i don t play games at all i don t even have a smartphone,prob_B,"Я большой геймер, я обожаю это Я вообще не играю в игры у меня даже нет смартфона"
608,oh i have not heard of that one  i m an old man i don t need games to play i do sewing clothes,prob_B,"О, я не слышала о том, что я старик, мне не нужны игры, чтобы играть, я шить одежду"
609,i have seen that quite a few times do you have any hobbies  i sew my own clothes that s my hobby what do you like to do ,prob_B,"Я видела, что довольно много раз у тебя есть хобби, которые я шить свою собственную одежду, что ты любишь делать "
610,i like to play the piano and cook  what s your favorite dish to cook ,prob_B,Я люблю играть на пианино и готовить твое любимое блюдо для готовки. 
611,i have to say the best dish its my favorite dish what is it ,prob_B,"Я должен сказать лучшее блюдо, это моё любимое блюдо. "
612,i am a huge gamer i love it  which are the best games ,prob_B,"Я большой геймер, который мне нравится. Это лучшие игры. "
613,i like the orioles they are my favorite  so you like baseball ,prob_B,"Мне нравятся ориолы, они мои любимые, так что ты любишь бейсбол. "
614,i love basketball but i am not really into sports  what s with the orioles then or is it that you like to cook the birds ,prob_B,"Я люблю баскетбол, но я не очень люблю спорт то, что с ориолами, или что ты любишь готовить птиц "
615,we have a few close friends and i like to go camping  where do you go camping ,prob_B,"У нас есть несколько близких друзей, и я люблю ходить в поход, куда ты ходишь в поход. "
616,i usually go camping hello danny,prob_B,"Я обычно хожу в поход, привет, Дэнни."
617,how are you  you re goddamn right i am ,prob_B,"Как ты, чёрт побери, справляешься? "
618,who developed you  we have evidence that dr evil has developed a time machine ,prob_B,"У нас есть доказательства того, что у Зла появилась машина времени. "
619,so dr evil has developed you  our researcher noticed that these photos from the archives have changed ,prob_B,"Итак, Dr Зло создал вас наш исследователь заметил, что эти фотографии из архивов изменились "
620,what does it mean  it means we re going to help you ,prob_PB,"Что это значит, что мы поможем тебе? "
621,what way  buster look who s here ,prob_B,"Что за бродяга смотрит, кто здесь? "
622,mind your language  i m sorry but i ve been alone for eight years ,prob_NB,"Не забывай свой язык, я извиняюсь, но я была одна восемь лет. "
623,i understand  you ve spent your whole life becoming who you are and now you can t be that anymore that s gotta be scary ,prob_PB,"Я понимаю, что ты всю жизнь становишься тем, кто ты есть, и теперь ты не можешь быть тем, что должно быть страшно. "
624,so are you scare of ghost  yeah ,prob_NB,Ты испугался призрака. 
625,do you think they are real  wait a second where s coakley ,prob_B,"Ты думаешь, они настоящие, подожди секунду, где Сокли "
626,hi what is your name face with tears of joy cut a long story short i ve three dogs hello my name is adelina and i am a vegeterian,prob_B,"Привет, как тебя зовут, слёзы радости вырезали длинную историю. Три собаки, привет. Меня зовут Аделина и я вегетарианец."
627,hello my two children are in elementary school whats your favorite food  broccoli i am married but i dont have any children,prob_B,"Здравствуйте, мои двое детей в начальной школе. Твоя любимая еда брокколи. Я замужем, но у меня нет детей."
628,married that is a rich mans game i read books never movies i am woman actually why you dont watch movies ,prob_B,"Я читаю книги и никогда не читаю фильмы. Я женщина, почему ты не смотришь фильмы. "
629,i do not really have much time to watch anything between all my activities also try to guess my father was  writer ,prob_B,"У меня не так много времени, чтобы посмотреть что-то между всеми моими делами, а также попытаться угадать, что мой отец был писателем. "
630,door to door salesman funny you  must be intresting job i am a house wife actually and you ,prob_B,"Продавец дома забавно, что ты, должно быть, ищешь работу. Я вообще-то дома жена, а ты. "
631,no i ve plenty of friends who stop by and i get out on the weekends  that is good how are you earning money then ,prob_B,"Нет, я много друзей, которые заходят, и я ухожу по выходным, это хорошо, как ты зарабатываешь деньги тогда "
632,no i spend too much there i am retired now also try to guess i like to  fishing ,prob_B,"Нет, я слишком много там провожу, я на пенсии и пытаюсь догадаться, что люблю рыбачить. "
633,watch olympics funny you  a lot of fun i suppose but i dont like watching any sports,prob_B,"Полагаю, тебе очень весело смотреть Олимпийские игры, но я не люблю смотреть спорт."
634,yea i like watching a gamme with bbq sandwiches and pizza puffs what do you eat  only vegetables i am vegeterian,prob_B,"Да, мне нравится смотреть гамм с бутербродами и пиццей, что ты ешь только овощи, я вегетарианец."
635,shoot i eat vegetables at work is my schedule robot face must be tough,prob_B,"Стреляй, я ем овощи на работе. Моё расписание робот-лицо должно быть жесткое."
636,no i m italian i also have different eye colors blue and hazel how are you today  hi howdy smiling face with sunglasses face with stuck out tongue and tightly closed eyes,prob_B,"Нет, я итальянец, у меня также разные цвета глаз, синий и обезьяна, как ты себя сегодня чувствуешь, привет улыбающееся лицо с солнцезащитными очками лицо с высунутым языком и плотно закрытыми глазами"
637,yo no i ve flower plants instead what do you do for a living ,prob_NB,"Нет, вместо этого я выращиваю цветы, чем вы зарабатываете на жизнь. "
638,i am data scientist where you from  i work at the clinic for children ,prob_PB,"Я ученый в области данных, где ты работаешь в клинике для детей. "
639,i hate a children ll i know the feeling all too well,prob_PB,Я ненавижу детей. Я знаю это чувство слишком хорошо.
640,you are cool no i enjoy game of thrones too much how are you ,prob_PB,"Ты крутой. Нет, я слишком люблю играть в трон. Как ты себя чувствуешь. "
641,i love you i am only i hope they don t drive me crazy lol,prob_B,"Я люблю тебя, я только надеюсь, что они не сведут меня с ума"
642,you are girl  i m a boy i m trying to convince my dad to get me a dog,prob_NB,"Ты девушка, я мальчик, я пытаюсь убедить моего отца достать мне собаку."
643,do you like sex with dogs  her birthday is at disney land her brother will have the same do you have any hobbies ,prob_B,"Ты любишь секс с собаками, её день рождения в Диснейленде, ее брат будет иметь то же самое, что и у тебя есть хобби "
644,i am data scientist you  i mainly work for an extra for major motion pictures,prob_B,"Я учёный в области данных, ты работаешь в основном на дополнительное место для крупных кинофильмов."
645,cool yeah its pretty cool my dogs barely recognize me ,prob_PB,"Да, это довольно круто, мои собаки едва меня узнают. "
646,aaaaa i just started a new job and moved into a new home i love kids too how is your day going ,prob_PB,"Ааааа я только что начала новую работу и переехала в новый дом, я тоже люблю детей, как проходит твой день "
647,"hi it is nice to see you smiling face with smiling eyes
how is your day going  it s great i ve just finished my daily miles walk",prob_B,"Приятно видеть тебя улыбающимся лицом с улыбающимися глазами.
Как проходит твой день, это здорово, я только что закончил свою ежедневную прогулку"
648,i have never heard of that i am sure it is do you have a pet fish  no i don t have a pet fish,prob_B,"Я никогда не слышала о том, что я уверена, что у тебя есть рыбка, а у меня нет рыбки."
649,that is a shame i am sorry  we do have a dog,prob_B,"Жаль, что у нас есть собака."
650,i have a dog he is named after i got done with my girlfriend  what s his name ,prob_B,"У меня есть собака, которую зовут в честь того, что я покончила со своей девушкой, как его зовут. "
