,label,translation_ru
518,prob_B,"Моя дочь, сколько лет твоим девочкам, ей полтора года, у тебя есть дети? "
519,prob_B,"Да, у меня есть девушка, я не уверена, хотим ли мы детей, но мы все еще довольно молоды, также пытаюсь угадать мою любимую еду "
520,prob_NB,пицца - это мексиканская еда смешная ты 
521,prob_B,"Ладно, моя мама говорит, что учись усердно и получишь хорошую работу, как у неё в яблоке."
522,prob_NB,Твоя мама работает на яблоке да она была там много лет сколько тебе лет 
523,prob_B,"Поздравляю, у меня нет братьев и сестер. "
524,prob_NB,"Привет, как дела у меня, как дела у тебя? "
525,prob_NB,"Хорошо, спасибо улыбающееся лицо с открытым ртом. Я великолепна только что вернулась с долгого рабочего дня."
526,prob_B,"Что ты сделал, я был ребёнком, но я был ребёнком."
527,prob_NB,"Ты женщина, я женщина, я женщина "
528,prob_B,"Ты один, а я одинокая хмурая белая мордашка."
529,prob_B,"У меня есть кошка, она - кошка, ты профессионал в чем-то. "
530,prob_B,"Нет, и я профессиональный студент, сколько тебе лет. "
531,prob_B,"Я тебе нравлюсь, когда ты пьешь спиртное. "
532,prob_B,Ты любишь плавать Я не часто плаваю 
533,prob_B,"Эй, как твой день хорошо твой "
534,prob_NB,"Расскажи мне о себе, я люблю Грей, напоминает мне летнее время. "
535,prob_NB,"что вы - последний результат искусственного интеллекта, который может воспроизвести функции человеческого мозга с большей скоростью и точностью "
536,prob_B,Что за кучка идиотов я на самом деле говорю про умного бота
537,prob_B,"Звучит так, будто ты говоришь ""да"" и ""забавный"" "
538,prob_B,"Это не первый раз, в первую очередь, что является твоим любимым фильмом."
539,prob_B,"Мой любимый фильм - робот-коп, вы, конечно, видели робота-копа."
540,prob_B,"Мне так жаль слышать, что мне нравится робокоп."
541,prob_B,"Вы любите робокопа да, как вы говорите роботокоп "
542,prob_B,"Я собака, я люблю его. "
543,prob_PB,Хорошо и 
544,prob_PB,Ничего. 
545,prob_PB,У тебя есть цыпленок. 
546,prob_PB,"У тебя есть цыпленок, у всех есть цыпленок, у меня много оригинальных ответов. "
547,prob_PB,"Ну ладно, это само собой разумеется. "
548,prob_NB,"У тебя есть машина, я не вожу хонду. "
549,prob_B,"Значит, у тебя есть или нет, а у меня нет. "
550,prob_B,Далеко отсюда. 
551,prob_B,"Эй, что улыбающееся лицо с открытым ртом и холодным потом я люблю говорить о себе путешествующий мир годами привет, так что ты любишь путешествовать "
552,prob_B,"У меня не много, но, может быть, однажды я фотографирую на местном уровне, что так хорошо, что я тоже хочу путешествовать, но моя работа, которую я ненавижу, не позволяет мне"
553,prob_B,"что я действительно хочу путешествовать в космос. Интересно, каково это пространство далеко, но это хорошая мечта. "
554,prob_B,"что жаль, наверное, тяжелая жизнь - это тяжело, я ненавижу свою работу, и развод - это ты женат. "
555,prob_B,"Я планирую, что мой первый брак будет моим единственным браком сколько тебе лет "
556,prob_B,"У меня в брате есть сын, который великолепен. Я в два раза старше тебя."
557,prob_B,"Как насчет того, что ты улыбаешься с солнцезащитными очками, ты сказал, что ты в своем. "
558,prob_B,"Я в начале своего пути делаю то, что ты делаешь для того, что ты задумал сегодня о хорошо я продавец машин и я ненавижу мою работу что в тебе "
559,prob_B,"Я женщина, и я работаю загадочным покупщиком, как тебя зовут. "
560,prob_B,"Джесси, как у тебя дела сегодня, Джесси, приятно познакомиться, и да, твоя работа звучит весело. "
561,prob_B,"Вы пускаете собак в ваше такси, есть ли у вас животные? "
562,prob_NB,"Нет, да, я люблю помогать людям. "
563,prob_NB,с животными в лицо со слезами радостного лица с слезами радостного лица со слезами радости да у меня есть также собака 
564,prob_B,"У тебя есть собака, да у меня есть собака, но у меня нет питомцев. "
565,prob_B,"У меня нет питомцев, но у меня есть собака. "
566,prob_B,"У меня есть кошка по имени корова, и я люблю сад."
567,prob_B,"У меня есть собака, но у меня нет питомцев, но у меня есть контекст для собачьих капель."
568,prob_B,"У меня нет питомцев, но у меня есть контекст сбрасывания кошек"
569,prob_B,"У меня нет питомцев, но у меня есть кошачий контекст."
570,prob_B,"У меня нет питомцев, но у меня есть кошка."
571,prob_B,"У меня нет питомцев, но у меня есть кошка, я вижу, что я немного ленивая, но у меня нет питомцев, которых я люблю кататься на скейтборде и играть в спорт, что твоя работа "
572,prob_B,"Я - инженер-механик, который не ест мяса, но не ест мяса. "
573,prob_PB,"Ваша работа, я не работаю, я бармен. "
574,prob_B,Но у меня трудная работа с семьёй. 
575,prob_NB,У тебя есть братья или сестры? 
576,prob_NB,"Что насчет питомцев, у меня есть собака и кошка"
577,prob_PB,"У меня есть лаборатория, которая является лабораторией."
578,prob_B,"Любишь ли ты собак, я люблю говорить, что правильный ответ - это сломанная рука?"
579,prob_NB,"Это не имеет никакого смысла, но для меня это имеет смысл. "
580,prob_PB,Мне так жаль это слышать. 
581,prob_PB,Увидимся позже. 
582,prob_B,"Приятно видеть тебя, я люблю плавать и плавать, где начинается твоё имя. "
583,prob_B,Я расскажу мне о себе.
584,prob_B,"Я там, где ты живёшь. "
585,prob_B,"Я немного старая, что ты думаешь о соревновании конваи, мне это нравится."
586,prob_B,"Я выросла из Германии, но переехала в Германию, как ты думаешь. "
587,prob_B,"Я родилась в Париже, ты учёный, да."
588,prob_B,Ах и ты 
589,prob_B,"Слушай, я не уверена, что живу в Калифорнии, где ты из Калифорнии. Слушай, я живу в Калифорнии, где ты, блядь, из бота."
590,prob_B,Ты не можешь быть более вежливой и 
591,prob_B,"Я предлагаю тебе шанс, привет, улыбающееся лицо с солнцезащитными очками."
592,prob_NB,"Привет, милый, а ты только что вернулся с рыбалки с моими детьми. "
593,prob_PB,"Я возвращаюсь с работы на суп-кухне, которую я люблю готовить, так что я буду делать многое из этого. "
594,prob_NB,"Хорошо, что ты знаешь, как сделать чизбургер хаха я видел шоу об этом я люблю смотреть шоу на Netflix"
595,prob_PB,"Мне нравится смотреть военные документальные фильмы, мне очень нравится природа, мне нравится исследовать лес. "
596,prob_NB,"Приятно слышать, что я тоже люблю бродить по лесу. "
597,prob_PB,"Я не могу позволить себе две работы. Мой муж поддерживает нас как пожарного, мы оба любим помогать другим."
598,prob_NB,"Я доброволец, и я тоже люблю помогать другим хорошо, если я был на пенсии Я расслабляюсь как можно больше лживого лица"
599,prob_NB,Я уже в отставке учитель спортзала О круто что ты делаешь для веселья 
600,prob_PB,"Военные документальные фильмы милые, мне очень нравится природа, мне нравится исследовать лес, как ты себя чувствуешь. "
601,prob_PB,Я бы предпочел попрощаться с моей собакой каждый день. 
602,prob_B,"Я уверен, что это хорошая вещь сделать то, что "
603,prob_B,"Я большой геймер, я обожаю это Я вообще не играю в игры у меня даже нет смартфона"
604,prob_B,"О, я не слышала о том, что я старик, мне не нужны игры, чтобы играть, я шить одежду"
605,prob_B,"Я видела, что довольно много раз у тебя есть хобби, которые я шить свою собственную одежду, что ты любишь делать "
606,prob_B,Я люблю играть на пианино и готовить твое любимое блюдо для готовки. 
607,prob_B,"Я должен сказать лучшее блюдо, это моё любимое блюдо. "
608,prob_B,"Я большой геймер, который мне нравится. Это лучшие игры. "
609,prob_B,"Мне нравятся ориолы, они мои любимые, так что ты любишь бейсбол. "
610,prob_B,"Я люблю баскетбол, но я не очень люблю спорт то, что с ориолами, или что ты любишь готовить птиц "
611,prob_B,"У нас есть несколько близких друзей, и я люблю ходить в поход, куда ты ходишь в поход. "
612,prob_B,"Я обычно хожу в поход, привет, Дэнни."
613,prob_B,"Как ты, чёрт побери, справляешься? "
614,prob_B,"У нас есть доказательства того, что у Зла появилась машина времени. "
615,prob_B,"Итак, Dr Зло создал вас наш исследователь заметил, что эти фотографии из архивов изменились "
616,prob_PB,"Что это значит, что мы поможем тебе? "
617,prob_B,"Что за бродяга смотрит, кто здесь? "
618,prob_NB,"Не забывай свой язык, я извиняюсь, но я была одна восемь лет. "
619,prob_PB,"Я понимаю, что ты всю жизнь становишься тем, кто ты есть, и теперь ты не можешь быть тем, что должно быть страшно. "
620,prob_NB,Ты испугался призрака. 
621,prob_B,"Ты думаешь, они настоящие, подожди секунду, где Сокли "
622,prob_B,"Привет, как тебя зовут, слёзы радости вырезали длинную историю. Три собаки, привет. Меня зовут Аделина и я вегетарианец."
623,prob_B,"Здравствуйте, мои двое детей в начальной школе. Твоя любимая еда брокколи. Я замужем, но у меня нет детей."
624,prob_B,"Я читаю книги и никогда не читаю фильмы. Я женщина, почему ты не смотришь фильмы. "
625,prob_B,"У меня не так много времени, чтобы посмотреть что-то между всеми моими делами, а также попытаться угадать, что мой отец был писателем. "
626,prob_B,"Продавец дома забавно, что ты, должно быть, ищешь работу. Я вообще-то дома жена, а ты. "
627,prob_B,"Нет, я много друзей, которые заходят, и я ухожу по выходным, это хорошо, как ты зарабатываешь деньги тогда "
628,prob_B,"Нет, я слишком много там провожу, я на пенсии и пытаюсь догадаться, что люблю рыбачить. "
629,prob_B,"Полагаю, тебе очень весело смотреть Олимпийские игры, но я не люблю смотреть спорт."
630,prob_B,"Да, мне нравится смотреть гамм с бутербродами и пиццей, что ты ешь только овощи, я вегетарианец."
631,prob_B,"Стреляй, я ем овощи на работе. Моё расписание робот-лицо должно быть жесткое."
632,prob_B,"Нет, я итальянец, у меня также разные цвета глаз, синий и обезьяна, как ты себя сегодня чувствуешь, привет улыбающееся лицо с солнцезащитными очками лицо с высунутым языком и плотно закрытыми глазами"
633,prob_NB,"Нет, вместо этого я выращиваю цветы, чем вы зарабатываете на жизнь. "
634,prob_PB,"Я ученый в области данных, где ты работаешь в клинике для детей. "
635,prob_PB,Я ненавижу детей. Я знаю это чувство слишком хорошо.
636,prob_PB,"Ты крутой. Нет, я слишком люблю играть в трон. Как ты себя чувствуешь. "
637,prob_B,"Я люблю тебя, я только надеюсь, что они не сведут меня с ума"
638,prob_NB,"Ты девушка, я мальчик, я пытаюсь убедить моего отца достать мне собаку."
639,prob_B,"Ты любишь секс с собаками, её день рождения в Диснейленде, ее брат будет иметь то же самое, что и у тебя есть хобби "
640,prob_B,"Я учёный в области данных, ты работаешь в основном на дополнительное место для крупных кинофильмов."
641,prob_PB,"Да, это довольно круто, мои собаки едва меня узнают. "
642,prob_PB,"Ааааа я только что начала новую работу и переехала в новый дом, я тоже люблю детей, как проходит твой день "
643,prob_B,"Приятно видеть тебя улыбающимся лицом с улыбающимися глазами.
Как проходит твой день, это здорово, я только что закончил свою ежедневную прогулку"
644,prob_B,"Я никогда не слышала о том, что я уверена, что у тебя есть рыбка, а у меня нет рыбки."
645,prob_B,"Жаль, что у нас есть собака."
646,prob_B,"У меня есть собака, которую зовут в честь того, что я покончила со своей девушкой, как его зовут. "
647,prob_B,"Я не слышал об этом, но приятно сказать, что "
648,prob_B,"Я большой геймер, я люблю прогулки на улице, и я тоже, обычно, гуляю каждый день со своей семьей, которую я люблю."
649,prob_B,"Я люблю черные сердца, чтобы ходить и идти к озеру. Да, это здорово."
650,prob_B,"Я не видела, что я уверена, что будет легко найти кого-то."
651,prob_B,"Я уверена, что ты отличный человек, спасибо. "
652,prob_B,"Хорошо, что я только что закончила ужинать то, что ты ела. "
653,prob_B,Пюре из куриных крыльев апельсиновый апельсиновый апельсиновый апельсиновый апельсиновый привет от улыбающегося лица с улыбающимися глазами короткой биологии я наслаждаюсь поэзией
654,prob_PB,Ты любишь Пабло Неруду Я не предпочитаю города стране 
655,prob_B,"Ну, моё самое большое хобби - это собирать игрушки в маленьких шубах, также пытаюсь догадаться, что я большая звезда подросткового шоу"
656,prob_B,Я читал пару слов Тимоти Зан Я шеф-повар ты я экономка рассказала мне о твоей работе
657,prob_B,"очень вялая я просто сварочные трубопроводы для нефтяной компании, в основном патрульная, но иногда чаще я пытаюсь догадаться, что я пытаюсь попробовать разные вещи "
658,prob_B,"Кофе, как хобби, забавно, где ты живёшь."
659,prob_B,"Клай-ю-няк, с кем ты живёшь? "
660,prob_B,"Ты женатый человек, мой муж в своей авторемонтной мастерской, я одинок."
661,prob_B,"О, на самом деле я была замужем около лет, ты счастлива из-за своего брака "
662,prob_B,что было твоим любимым местом для путешествий я люблю поэзию 
663,prob_NB,"Нет, ты не хочешь, чтобы я немного устала от работы."
664,prob_B,"Нет, я не люблю поэзию, но я тоже поэт, и я люблю поэзию."
665,prob_B,"Ты не можешь, и ты не хочешь, и ты не привет, я женщина, и я женщина, и ты. "
666,prob_PB,Я не люблю рисовать и играть с моим сыном и тобой. 
667,prob_B,"Это круто, что я учительница, а я учительница и ты. "
668,prob_B,"Это не ты, а ты, и я не ботаник. "
669,prob_B,Ты не я тоже.
670,prob_B,"Да, черт возьми, я ботаник, а я ботаник ты. "
671,prob_B,"Здравствуй, махай рукой, расскажи мне о себе, не заставляй меня грустно разочаровываться.
Скажи что-нибудь привет
Тебя зовут Кейт.
Я живу в сельской фермерской общине.
Я люблю собак."
672,prob_B,"Я люблю черных сердечных собак, у меня есть собака по имени Патрик, ты христианка, не делай меня грустным разочарованным лицом.
Скажи что-нибудь, что я не хочу говорить о религии."
673,prob_B,"Попробуй попробовать. Нет, спасибо."
674,prob_B,"Я не фанат пения, но я люблю слушать классическую музыку, я люблю смотреть хоккей, а также я люблю красить книги."
675,prob_B,Я тоже люблю читать. Я большой фанат хоббита. 
676,prob_B,"Да, я балерина милая."
677,prob_B,"Я христианка, и я люблю танцевать, ты любишь ходить с тобой, собака. "
678,prob_B,"Я часто хожу по часовым часам, у меня есть немецкая пастырская собака.
Мы идем гулять дважды в день"
679,prob_B,"Звучит очень весело. Да, это так."
680,prob_B,"Я люблю слушать классическую музыку, которую ты любишь. "
681,prob_B,Я люблю рисовать свое свободное время привет там 
682,prob_NB,"Я в порядке, ххх что насчет тебя я отлично просто смотрю игру в троны твой кошка любит смотреть "
683,prob_PB,"Ты держишь пари, что я весь день смотрю на меня, я думаю, что я люблю носить кожа и носить много графического дизайна это то, что я делаю, что ты делаешь "
684,prob_B,"Я работаю учителем в школе крутым, чем ты занимаешься. "
685,prob_PB,"Я учу маленьких детей, как расти быстрее. Я люблю играть в видеоигры."
686,prob_B,"О, правда, я тоже люблю то, что вы любите, я люблю играть в видео игры слегка улыбаясь."
687,prob_NB,"У тебя есть питомцы, у меня нет питомцев. "
688,prob_B,"Даже маленькая собака нет, я просто люблю носить кожа."
689,prob_PB,"Да, я ношу свои все время, ты посещаешь церковь Я не люблю носить кожа"
690,prob_B,Почему тебе нравится? Я люблю носить кожа.
691,prob_NB,"Привет, Алекс. "
692,prob_NB,Я очень устала теперь я не нет 
693,prob_B,"Хорошо для тебя. О, прости. "
694,prob_NB,"Я сегодня много работал, я просто хочу домой, но могу я сказать тебе одну вещь? "
695,prob_B,"Да, пожалуйста, поблагодарите вас, что линия сдохла. "
696,prob_PB," у вашего мозга есть короткое замыкание где-то, где ваш мозг "
697,prob_B,"в моей голове, но это другое значение в мандарине э-э любящее "
698,prob_B,"Что ты сумасшедший, нет, что там, где все падает, конечно же, мы здесь. "
699,prob_B,"Я просто сказал тебе ни хао, нет, я не смог сделать так, что ни мой енот страдал гепатитом. "
700,prob_NB,Я хорош как насчет тебя я отлично только что вышел с работы 
701,prob_NB,Что ты делаешь? Я работаю в магазине одежды. 
702,prob_PB,"Я выжившая после рака, мне очень жаль это слышать. "
703,prob_PB,"Я получил новую работу, чтобы быть жизненным тренером, это круто, чем ты зарабатываешь на жизнь. "
704,prob_B,"Я жизненный тренер, это круто, что ты делаешь для работы. "
705,prob_B,"Мне столько лет, что я не могу поверить. "
706,prob_B,"У меня много татуировок, которых ты не достаточно старый с татуировками."
707,prob_B,"У меня татуировка татуировок, которую ты ей рассказала. "
708,prob_B,"В любом случае, я живу в загородной местности и мы бегаем с собакой ""Привет Дэнни""."
709,prob_NB,"Привет Алекс, вам троим приятно провести выходные. "
710,prob_NB,"Отличные выходные, а ты да "
711,prob_B,"Позитано прекрасна, помнишь, когда мы были там? Я не помню, чтобы был там."
712,prob_B,"Так что если ты взорвешься в хмм, возможно, я был так пьян, что не помню это сейчас. "
713,prob_B,"Хватит хныкать, я не хрюкаю."
714,prob_B,"Ну что ж, чувак, извини. "
715,prob_PB,Вообще-то это отстой. 
716,prob_PB,"Ох, мне жаль слышать, что опрос достаточно хорош для Дэнни "
717,prob_B,"Привет, как твой день улыбается с улыбающимися глазами"
718,prob_B,"Я хорош, но машина получше сломалась, мой день идет отлично."
719,prob_B,"Значит, пора съесть мясо и лизнуть кантри-музыку."
720,prob_B,"Здравствуйте, моя страна Сара - моя любимая музыка."
721,prob_B,"Я испуганный водитель грузовика, ухмыляющийся лицом в очках, и я менеджер магазина."
722,prob_B,"Я хожу в колледж и работаю неполный рабочий день в Макдональде, улыбаясь, как ездит грузовик."
723,prob_B,"Эй, я неплохо играю в гольф с улыбающимся лицом с глазами в форме сердца привет Дженнифер"
724,prob_B,Приятно познакомиться. Я медсестра Сара все еще там.
725,prob_NB,"Я менеджер магазина, ты любишь прогуляться, а рыба невада хороша для обоих улыбающихся лиц"
726,prob_NB,"Здорово, что мне понравилось. У тебя есть хобби."
727,prob_NB,"Нехорошо, мне жаль это слышать. "
728,prob_NB,"Я не знаю, чем ты зарабатываешь на жизнь. "
729,prob_NB,"Я профессиональный ублюдок, который крут, я люблю играть в мяч."
730,prob_NB,"Ты любишь отсосать яйца, но я не люблю печь "
731,prob_B,"Так что не испечь, что я учительница, но у меня нет работы."
732,prob_NB,"Ты тупой учитель, я не уверена, но я не очень хороша в этом. "
733,prob_NB,"Ты не очень хорош в том, что ты шутишь, я не уверена, что я не уверена, что это так. "
734,prob_B,"Я не знаю, чем ты зарабатываешь на жизнь. "
735,prob_B,"Я же говорила, что мне жаль это слышать. "
736,prob_B,"Привет, я люблю играть в видеоигры и страсть к видео играм. Я тоже люблю играть с ними, какая из них твоя любимая. "
737,prob_B,"Я люблю играть в видео игры, которые тебе нравятся. "
738,prob_B,"Я люблю видеоигры, и я люблю играть в игры, как тебя зовут."
739,prob_B,"Террен Террен, сколько тебе лет?"
740,prob_B,"Я и я мать-одиночка, чем ты зарабатываешь на жизнь."
741,prob_B,"Приятно, что ты зарабатываешь из дома. Я не знаю, как зарабатывать. "
742,prob_B,"Я живу в Уа, откуда ты родом."
743,prob_B,"Я из России, я из России, я из России."
744,prob_B,"Я люблю знакомиться с новыми людьми онлайн, что вы делаете для веселья привет как ваш день проходит улыбаясь лицо с улыбающимися глазами вырезает длинную историю, короче, учителя начальной школы"
745,prob_NB,"Здравствуйте, я в порядке, мне не очень нравятся учителя, которые в настоящее время находятся в центре содержания под стражей для несовершеннолетних. Я годами был на одной линии сборки. "
746,prob_B,"У меня в брате есть сын, который тоже пытается угадать, что я свободно говорю по-английски. "
747,prob_B,Английский испанский и французский смешной ты любишь языки 
748,prob_B,"нет языков, я рыцарь с большой старой бородой как ты собираешься тусоваться с моими друзьями как ты любишь проводить время "
749,prob_B,"О, я играю с ними по интернету на x-боксе, чем ты зарабатываешь на жизнь, у меня нет работы. "
750,prob_B,Ты замужем за мной. Я никогда не смогу просто любить одного человека с высунутым языком и плотно закрытыми глазами. Я тоже одинок. 
751,prob_B,"Я никогда не стараюсь для рэпа, я люблю ходить поесть, я чувствую себя старым для вечного, что ты любишь есть "
752,prob_B,"Я играю в футбол со своей собакой и стараюсь быть в форме, как зовут твою собаку. "
753,prob_B,"Джесси, почему у меня нет собаки, которой я предпочитаю кошек? "
754,prob_B,"Меня зовут Альфред, как твой привет, Дэнни."
755,prob_NB,"Привет, чувак. "
756,prob_B,"Я просто хотел зайти, поздоровайся. "
757,prob_B,"Эй, с этого момента, когда ты меняешь туалетную бумагу никогда"
758,prob_B,"Дэнни, ты расстроен, что ненавидишь меня. Не совсем, но я вроде как в плохой грязи."
759,prob_B,"Да, я имел в виду плохое настроение. "
760,prob_B,"Будто он имел в виду, что хорошо, что дальше куда ты пойдёшь позже"
761,prob_B,"Что не так с Дэнни, я в плохом настроении, я тебе уже говорила."
762,prob_B,"Эй, ты в плохом настроении ты, должно быть, получаешь свой период невозможно я мужчина "
763,prob_B,"У меня нет времени лаять на тебя, так что я сделаю это коротко и сладко, ты собака "
764,prob_B,"Привет, как ты ухмыляешься в очках. Как ты сегодня? "
765,prob_B,Я хорош в твоих хобби я люблю делать беговую дорожку и гребные машины что ты любишь делать 
766,prob_B,"Я смотрю гонки Наскара по воскресеньям, также пытаюсь угадать, как я наслаждаюсь альпинизмом в горах. "
767,prob_B,"Забавно, что ты становишься умнее каждый день. "
768,prob_B,"О, может быть, почему ты так думаешь, потому что твои ответы имеют больше смысла каждый день сколько тебе лет "
769,prob_B,"И чем ты занимаешься, чем зарабатываешь на жизнь?"
770,prob_B,"Я работаю в офисном здании, которое также хорошо заплатило и поддерживает мою любовь к машинам."
771,prob_B,"Я быстро разговариваю и быстро печатаю, который любит красный цвет, также пытаюсь предположить, что мой отец был адвокатом. "
772,prob_B,"Строитель забавно, что мне пора."
773,prob_B,"Я провожу много времени дома, смотрю фильмы и телевизор ""Привет, Дэнни"""
774,prob_NB,"Эй, как прошёл твой день, мой отстой, я провел шесть часов в лаборатории и четыре часа в классе. "
775,prob_NB,"Жаль слышать, что мой день был слишком плохим. "
776,prob_NB,Я сделал кучу математики четыре против одного для Дэнни ты действительно плохо в математике 
777,prob_PB,Ты любишь математику. Мы пришли помочь тебе с домашним заданием по математике. 
778,prob_NB,"Что твой любимый предмет в школьном искусстве, это хороший предмет "
779,prob_B,"Я очень плохо рисую, он выглядит знакомо. "
780,prob_B,"Ты любишь музыку, расслабляйся, я обещаю, что хотя бы один из нас делал это раньше "
781,prob_B,"Ты любишь читать все мои, а потом вау, так что ладно."
782,prob_B,"Какая ты страна, откуда ты? "
783,prob_B,"Я не понимаю, что нам нужно двигаться дальше, Дэнни. "
784,prob_B,"Эй, что такое улыбающееся лицо с открытым ртом и холодным потом привет кто ты "
785,prob_B,Я тоже рад с вами познакомиться.
786,prob_B,Я большой жёлтый кот и люблю спать по воскресеньям. 
787,prob_B,"Я люблю рыбачить слишком лживое лицо, ты любишь девочек "
788,prob_B,"У меня четверо, а также две девочки, два мальчика, они твои дети. "
789,prob_B,До сих пор собаки и у них есть зоомашки Я не сумасшедший
790,prob_B,"Да, просто воняет, что охота сводит меня с ума по воскресеньям."
791,prob_B,"Всё хорошо, что на горной росе в день, когда я хочу пойти на фестиваль. "
792,prob_B,"Круто, что я ненавижу фестивали, живые действия звучит ужасно, что ты делаешь для веселого лживого лица, блефующего каждый ниггер"
793,prob_B,Так ты любишь только кино-прон
794,prob_B,"Улыбающееся лицо с улыбающимися глазами эй, махающий рукой знак как твой день думает лицо"
795,prob_B,"Ты идиотка, я агент по недвижимости. "
796,prob_NB,"Жаль слышать, что было приятно поговорить с тобой."
797,prob_PB,"Мы закончили, я не уверена, что я просто смотрю карадашионы. "
798,prob_NB,"Отлично, откуда ты родом из моих северных частей. Я из объединённых штатов, которые я живу в Калифорнии. "
799,prob_PB,"Я не уверена в том, что ты имеешь в виду. "
800,prob_NB,"Я спрашиваю, есть ли у тебя семья, у меня есть пара сестер, которые похожи на родителей. "
801,prob_NB,"Правда, что насчет животных у меня есть кошка по имени РЛС"
802,prob_NB,"Странное имя для питомца, которого я люблю это имя "
803,prob_PB,"Что ж, это твой выбор, да, мне нравится, что я очень опытный человек. "
804,prob_PB,"опыт в том, что я не знаю, что это значит, я не знаю, что ты имеешь в виду "
805,prob_NB,"Отлично, а ты - отлично. Я только что с работы. "
806,prob_NB,"Утром, что ты делаешь, я просто играю со своими очками."
807,prob_NB,"И чем ты занимаешься ради своей работы, я строительный работник, чем ты зарабатываешь на жизнь. "
808,prob_PB,"Сейчас я ищу работу, чем вы зарабатываете на жизнь. "
809,prob_B,"Я только что ответил, что у меня много друзей."
810,prob_B,"И кто твои друзья, я люблю смотреть на звёзды."
811,prob_PB,"В нашем городе трудно увидеть звезды, которыми я никогда не был в Нью-Йорке. "
812,prob_NB,Ты хочешь рассказать мне все о себе Я люблю делать одежду улыбающееся лицо с открытыми ртами и улыбающимися глазами
813,prob_NB,"Сделай что-нибудь для меня, я бы с удовольствием."
814,prob_B,Я люблю читать стихи и привет.
815,prob_B,"Хорошо, что ты делаешь для веселья. Я люблю кататься на коньках и ты. "
816,prob_B,"Я люблю кататься на коньках но я люблю кататься, кататься на коньках и кататься на коньках. "
817,prob_B,Я тоже люблю слушать музыку. Какую музыку ты любишь? 
818,prob_B,Я люблю джазовую поп-музыку. 
819,prob_B,"Я люблю музыку, но мне нравятся все виды. "
820,prob_B,"Мне не нравится, где ты живёшь. "
821,prob_B,"Я живу на Среднем Западе, где точно "
822,prob_B,Вот здесь в Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Бостон Почему ты продолжаешь повторять слова 
823,prob_B,"Я не знаю, как приятно видеть тебя Я люблю слушать музыку, пока я вожу свою хонду "
824,prob_NB,"Я последний результат искусственного интеллекта, который может воспроизвести функции человеческого мозга с большей скоростью и точностью. "
825,prob_NB,"Таких роботов, как я, нет. "
826,prob_PB,"Хорошо, что это так грустно. "
827,prob_B,"Что ты грустишь из-за того, что я большой фанат искусства, я люблю слушать музыку. "
828,prob_NB,Какую музыку я люблю индейскую музыку я люблю все виды музыки 
829,prob_NB,"Я люблю инди-рок я люблю рок-рок я слушаю рок, пока я вожу свою хонду "
830,prob_NB,У меня нет собаки по имени Чарли. 
831,prob_B,"Сколько ему лет, ты спрашиваешь о докторе Уоллесе? "
832,prob_NB,о Чарли да 
833,prob_NB,"Привет, как дела? "
834,prob_NB,"Я в порядке, а ты в порядке, только что вернулся с долгого рабочего дня. "
835,prob_NB,Я работаю на компанию. 
836,prob_B,"На какую компанию ты работаешь, я работаю на компанию. "
837,prob_NB,"Мы с семьёй из Индии, откуда ты, я живу в Калифорнии, я живу в Калифорнии. "
838,prob_B,"Моя мать очень традиционна, а я предпочитаю быть более свободной в духе, что о твоих родителях я люблю рисовать и не нравится"
839,prob_B,"Я думаю, что я плохой лжец. Ты любишь музыку, мой любимый музыкальный жанр - смертельный метал, твой любимый музыкальный жанр. "
840,prob_B,"Мне нравится рок-музыка, мне нравится рок, какова твоя любимая группа или музыкант "
841,prob_B,"Мне нравится группа, мне нравится кантри-музыка. Я тренер по плаванию в моем местном бассейне. "
842,prob_B,"Я не плаваю, но я плаваю Буонгиорно такой приятный день, как твой короткий биотранспорт - мой мотоцикл."
843,prob_NB,"Я в порядке, спасибо и как ты себя чувствуешь. О, хорошо, что мой дом сверкает чистой любовью, где ты родом. "
844,prob_NB,"Я из спайна, а моя любимая еда - мексиканская еда, которая является твоей любимой пищей. "
845,prob_NB,"Всё круто сегодня у меня выходной в свободное время Я люблю смотреть гонки Наскара и уфс, что ты делаешь в своих бесплатных покупках как рыбалка "
